Client,Ratings,Users,Movies,Avg Rating,Ratings/User,Top Genres
0,990,8,640,3.28,123.8,"Horror (484), Comedy (348), Thriller (176)"
1,8722,108,1673,3.78,80.8,"Drama (7199), Comedy (1581), Romance (1162)"
2,619815,3427,3654,3.63,180.9,"Drama (254630), Comedy (233209), Action (125353)"
3,3897,44,1001,3.35,88.6,"Children's (1732), Comedy (1285), Animation (1142)"
4,5877,73,1422,3.83,80.5,"Drama (1870), Comedy (1635), Musical (1566)"
5,15847,190,2070,3.67,83.4,"Action (7371), Thriller (6424), Drama (5250)"
6,293526,1681,3375,3.48,174.6,"Action (108147), Comedy (105957), Drama (69971)"
7,37760,340,2634,3.54,111.1,"Sci-Fi (12296), Action (11595), Horror (10655)"
8,7876,109,1800,3.70,72.3,"Drama (3162), Comedy (2629), Romance (1625)"
9,5899,60,1753,3.55,98.3,"Drama (2331), Comedy (1285), Horror (1184)"
